Session,Session Date,Session Title / Poster Group,Start Time,Stop Time,# of Papers,Session Chairs,Session Order,Poster ID,Paper ID,Title (Corrected),Authors (Corrected)
,,,,,,,14,44b,5938,Revealing Occlusions With 4D Neural Fields,Basile Van Hoorick; Purva Tendulkar; Dídac Surís; Dennis Park; Simon Stent; Carl Vondrick
,,,,,,,15,45b,1615,HODOR: High-Level Object Descriptors for Object Re-Segmentation in Video Learned From Static Images,Ali Athar; Jonathon Luiten; Alexander Hermans; Deva Ramanan; Bastian Leibe
,,Video Analysis & Understanding,2:30 PM,5:00 PM,214,,1,46b,19,Compositional Temporal Grounding With Structured Variational Cross-Graph Correspondence Learning,Juncheng Li; Junlin Xie; Long Qian; Linchao Zhu; Siliang Tang; Fei Wu; Yi Yang; Yueting Zhuang; Xin Eric Wang
,,,,,,,2,47b,4076,UMT: Unified Multi-Modal Transformers for Joint Video Moment Retrieval and Highlight Detection,Ye Liu; Siyuan Li; Yang Wu; Chang-Wen Chen; Ying Shan; Xiaohu Qie
,,,,,,,3,48b,4768,Future Transformer for Long-Term Action Anticipation,Dayoung Gong; Joonseok Lee; Manjin Kim; Seong Jong Ha; Minsu Cho
,,,,,,,4,49b,10871,MLP-3D: A MLP-Like 3D Architecture With Grouped Time Mixing,Zhaofan Qiu; Ting Yao; Chong-Wah Ngo; Tao Mei
,,,,,,,5,50b,5231,Learning Pixel-Level Distinctions for Video Highlight Detection,Fanyue Wei; Biao Wang; Tiezheng Ge; Yuning Jiang; Wen Li; Lixin Duan
,,,,,,,6,51b,5385,DR.VIC: Decomposition and Reasoning for Video Individual Counting,Tao Han; Lei Bai; Junyu Gao; Qi Wang; Wanli Ouyang
,,,,,,,7,52b,5824,Slot-VPS: Object-Centric Representation Learning for Video Panoptic Segmentation,Yi Zhou; Hui Zhang; Hana Lee; Shuyang Sun; Pingjun Li; Yangguang Zhu; ByungIn Yoo; Xiaojuan Qi; Jae-Joon Han
,,,,,,,8,53b,6070,Explore Spatio-Temporal Aggregation for Insubstantial Object Detection: Benchmark Dataset and Baseline,Kailai Zhou; Yibo Wang; Tao Lv; Yunqian Li; Linsen Chen; Qiu Shen; Xun Cao
,,,,,,,9,54b,6128,Video Shadow Detection via Spatio-Temporal Interpolation Consistency Training,Xiao Lu; Yihong Cao; Sheng Liu; Chengjiang Long; Zipei Chen; Xuanyu Zhou; Yimin Yang; Chunxia Xiao
,,,,,,,10,55b,6499,Coarse-To-Fine Feature Mining for Video Semantic Segmentation,Guolei Sun; Yun Liu; Henghui Ding; Thomas Probst; Luc Van Gool
,,,,,,,11,56b,7005,Tencent-MVSE: A Large-Scale Benchmark Dataset for Multi-Modal Video Similarity Evaluation,Zhaoyang Zeng; Yongsheng Luo; Zhenhua Liu; Fengyun Rao; Dian Li; Weidong Guo; Zhen Wen
,,,,,,,12,57b,7025,Object-Region Video Transformers,Roei Herzig; Elad Ben-Avraham; Karttikeya Mangalam; Amir Bar; Gal Chechik; Anna Rohrbach; Trevor Darrell; Amir Globerson
,,,,,,,13,58b,7055,Colar: Effective and Efficient Online Action Detection by Consulting Exemplars,Le Yang; Junwei Han; Dingwen Zhang
,,,,,,,14,59b,7535,SimVP: Simpler Yet Better Video Prediction,Zhangyang Gao; Cheng Tan; Lirong Wu; Stan Z. Li
,,,,,,,15,60b,7796,Imposing Consistency for Optical Flow Estimation,Jisoo Jeong; Jamie Menjay Lin; Fatih Porikli; Nojun Kwak
,,,,,,,16,61b,8681,Stand-Alone Inter-Frame Attention in Video Models,Fuchen Long; Zhaofan Qiu; Yingwei Pan; Ting Yao; Jiebo Luo; Tao Mei
,,,,,,,17,62b,10118,Video Swin Transformer,Ze Liu; Jia Ning; Yue Cao; Yixuan Wei; Zheng Zhang; Stephen Lin; Han Hu
,,,,,,,18,63b,10438,Bayesian Nonparametric Submodular Video Partition for Robust Anomaly Detection,Hitesh Sapkota; Qi Yu
,,,,,,,19,64b,4019,Self-Supervised Predictive Learning: A Negative-Free Method for Sound Source Localization in Visual Scenes,Zengjie Song; Yuxi Wang; Junsong Fan; Tieniu Tan; Zhaoxiang Zhang
,,,,,,,20,65b,4010,Likert Scoring With Grade Decoupling for Long-Term Action Assessment,Angchi Xu; Ling-An Zeng; Wei-Shi Zheng
,,,,,,,21,66b,5183,Complex Video Action Reasoning via Learnable Markov Logic Network,Yang Jin; Linchao Zhu; Yadong Mu
,,,,,,,22,67b,1666,Learning From Temporal Gradient for Semi-Supervised Action Recognition,Junfei Xiao; Longlong Jing; Lin Zhang; Ju He; Qi She; Zongwei Zhou; Alan Yuille; Yingwei Li
,,,,,,,23,68b,3415,Semi-Supervised Video Semantic Segmentation With Inter-Frame Feature Reconstruction,Jiafan Zhuang; Zilei Wang; Yuan Gao
,,,,,,,24,69b,1516,Weakly Supervised Temporal Action Localization via Representative Snippet Knowledge Propagation,Linjiang Huang; Liang Wang; Hongsheng Li
,,,,,,,25,70b,1333,Joint Hand Motion and Interaction Hotspots Prediction From Egocentric Videos,Shaowei Liu; Subarna Tripathi; Somdeb Majumdar; Xiaolong Wang
,,,,,,,26,71b,2974,Human Hands As Probes for Interactive Object Understanding,Mohit Goyal; Sahil Modi; Rishabh Goyal; Saurabh Gupta
,,,,,,,27,72b,8217,LD-ConGR: A Large RGB-D Video Dataset for Long-Distance Continuous Gesture Recognition,Dan Liu; Libo Zhang; Yanjun Wu
,,,,,,,28,73b,2122,Object-Aware Video-Language Pre-Training for Retrieval,Jinpeng Wang; Yixiao Ge; Guanyu Cai; Rui Yan; Xudong Lin; Ying Shan; Xiaohu Qie; Mike Zheng Shou
,,,,,,,29,74b,1188,Fast and Unsupervised Action Boundary Detection for Action Segmentation,Zexing Du; Xue Wang; Guoqing Zhou; Qing Wang
,,,,,,,30,75b,2366,Multiview Transformers for Video Recognition,Shen Yan; Xuehan Xiong; Anurag Arnab; Zhichao Lu; Mi Zhang; Chen Sun; Cordelia Schmid
,,,,,,,31,76b,3290,Semi-Weakly-Supervised Learning of Complex Actions From Instructional Task Videos,Yuhan Shen; Ehsan Elhamifar
,,,,,,,32,77b,763,Progressive Attention on Multi-Level Dense Difference Maps for Generic Event Boundary Detection,Jiaqi Tang; Zhaoyang Liu; Chen Qian; Wayne Wu; Limin Wang
,,,,,,,33,78b,714,Comparing Correspondences: Video Prediction With Correspondence-Wise Losses,Daniel Geng; Max Hamilton; Andrew Owens
,,Image & Video Synthesis and Generation,,,,,34,79b,7227,Sound-Guided Semantic Image Manipulation,Seung Hyun Lee; Wonseok Roh; Wonmin Byeon; Sang Ho Yoon; Chanyoung Kim; Jinkyu Kim; Sangpil Kim
,,,,,,,35,80b,6879,Expressive Talking Head Generation With Granular Audio-Visual Control,Borong Liang; Yan Pan; Zhizhi Guo; Hang Zhou; Zhibin Hong; Xiaoguang Han; Junyu Han; Jingtuo Liu; Errui Ding; Jingdong Wang
,,,,,,,36,81b,2513,Depth-Aware Generative Adversarial Network for Talking Head Video Generation,Fa-Ting Hong; Longhao Zhang; Li Shen; Dan Xu
,,,,,,,37,82b,2803,Learning Motion-Dependent Appearance for High-Fidelity Rendering of Dynamic Humans From a Single Camera,Jae Shin Yoon; Duygu Ceylan; Tuanfeng Y. Wang; Jingwan Lu; Jimei Yang; Zhixin Shu; Hyun Soo Park
,,,,,,,38,83b,4328,Audio-Driven Neural Gesture Reenactment With Video Motion Graphs,Yang Zhou; Jimei Yang; Dingzeyu Li; Jun Saito; Deepali Aneja; Evangelos Kalogerakis
,,,,,,,39,84b,3597,Portrait Eyeglasses and Shadow Removal by Leveraging 3D Synthetic Data,Junfeng Lyu; Zhibo Wang; Feng Xu
,,,,,,,40,85b,4088,Weakly Supervised High-Fidelity Clothing Model Generation,Ruili Feng; Cheng Ma; Chengji Shen; Xin Gao; Zhenjiang Liu; Xiaobo Li; Kairi Ou; Deli Zhao; Zheng-Jun Zha
,,,,,,,41,86b,3480,TemporalUV: Capturing Loose Clothing With Temporally Coherent UV Coordinates,You Xie; Huiqi Mao; Angela Yao; Nils Thuerey
,,,,,,,42,87b,5019,Full-Range Virtual Try-On With Recurrent Tri-Level Transform,Han Yang; Xinrui Yu; Ziwei Liu
,,,,,,,43,88b,1157,Style-Based Global Appearance Flow for Virtual Try-On,Sen He; Yi-Zhe Song; Tao Xiang
,,,,,,,44,89b,7259,Dressing in the Wild by Watching Dance Videos,Xin Dong; Fuwei Zhao; Zhenyu Xie; Xijin Zhang; Daniel K. Du; Min Zheng; Xiang Long; Xiaodan Liang; Jianchao Yang
,,,,,,,45,90b,4174,A Brand New Dance Partner: Music-Conditioned Pluralistic Dancing Controlled by Multiple Dance Genres,Jinwoo Kim; Heeseok Oh; Seongjean Kim; Hoseok Tong; Sanghoon Lee
,,,,,,,46,91b,4011,Unpaired Cartoon Image Synthesis via Gated Cycle Mapping,Yifang Men; Yuan Yao; Miaomiao Cui; Zhouhui Lian; Xuansong Xie; Xian-Sheng Hua
,,,,,,,47,92b,2453,DLFormer: Discrete Latent Transformer for Video Inpainting,Jingjing Ren; Qingqing Zheng; Yuanyuan Zhao; Xuemiao Xu; Chen Li
,,,,,,,48,93b,8478,ST-MFNet: A Spatio-Temporal Multi-Flow Network for Frame Interpolation,Duolikun Danier; Fan Zhang; David Bull
,,,,,,,49,94b,2082,Video Frame Interpolation With Transformer,Liying Lu; Ruizheng Wu; Huaijia Lin; Jiangbo Lu; Jiaya Jia
,,,,,,,50,95b,2253,Long-Term Video Frame Interpolation via Feature Propagation,Dawit Mureja Argaw; In So Kweon
,,,,,,,51,96b,2349,Many-to-Many Splatting for Efficient Video Frame Interpolation,Ping Hu; Simon Niklaus; Stan Sclaroff; Kate Saenko
,,,,,,,52,97b,2342,Look Outside the Room: Synthesizing a Consistent Long-Term 3D Scene Video From a Single Image,Xuanchi Ren; Xiaolong Wang
,,,,,,,53,98b,3363,Spatial-Temporal Space Hand-in-Hand: Spatial-Temporal Video Super-Resolution via Cycle-Projected Mutual Learning,Mengshun Hu; Kui Jiang; Liang Liao; Jing Xiao; Junjun Jiang; Zheng Wang
,,,,,,,54,99b,2345,Playable Environments: Video Manipulation in Space and Time,Willi Menapace; Stéphane Lathuilière; Aliaksandr Siarohin; Christian Theobalt; Sergey Tulyakov; Vladislav Golyanik; Elisa Ricci
,,,,,,,55,100b,519,Event-Based Video Reconstruction via Potential-Assisted Spiking Neural Network,Lin Zhu; Xiao Wang; Yi Chang; Jianing Li; Tiejun Huang; Yonghong Tian
,,,,,,,56,101b,7747,Modular Action Concept Grounding in Semantic Video Prediction,Wei Yu; Wenxin Chen; Songheng Yin; Steve Easterbrook; Animesh Garg
,,,,,,,57,102b,3594,Show Me What and Tell Me How: Video Synthesis via Multimodal Conditioning,Ligong Han; Jian Ren; Hsin-Ying Lee; Francesco Barbieri; Kyle Olszewski; Shervin Minaee; Dimitris Metaxas; Sergey Tulyakov
,,,,,,,58,103b,5802,"StyleGAN-V: A Continuous Video Generator With the Price, Image Quality and Perks of StyleGAN2",Ivan Skorokhodov; Sergey Tulyakov; Mohamed Elhoseiny
,,,,,,,59,104b,171,Structure-Aware Motion Transfer With Deformable Anchor Model,Jiale Tao; Biao Wang; Borun Xu; Tiezheng Ge; Yuning Jiang; Wen Li; Lixin Duan
,,,,,,,60,105b,7722,Image Animation With Perturbed Masks,Yoav Shalev; Lior Wolf
,,,,,,,61,106b,11632,Thin-Plate Spline Motion Model for Image Animation,Jian Zhao; Hui Zhang
,,,,,,,62,107b,10601,Controllable Animation of Fluid Elements in Still Images,Aniruddha Mahapatra; Kuldeep Kulkarni
,,,,,,,63,108b,955,Watch It Move: Unsupervised Discovery of 3D Joints for Re-Posing of Articulated Objects,Atsuhiro Noguchi; Umar Iqbal; Jonathan Tremblay; Tatsuya Harada; Orazio Gallo
,,,,,,,64,109b,8504,Geometric Structure Preserving Warp for Natural Image Stitching,Peng Du; Jifeng Ning; Jiguang Cui; Shaoli Huang; Xinchao Wang; Jiaxin Wang
,,,,,,,65,110b,7495,Few-Shot Incremental Learning for Label-to-Image Translation,Pei Chen; Yangkang Zhang; Zejian Li; Lingyun Sun
,,,,,,,66,111b,7466,Exemplar-Based Pattern Synthesis With Implicit Periodic Field Network,Haiwei Chen; Jiayi Liu; Weikai Chen; Shichen Liu; Yajie Zhao
,,,,,,,67,112b,9480,SIMBAR: Single Image-Based Scene Relighting for Effective Data Augmentation for Automated Driving Vision Tasks,Xianling Zhang; Nathan Tseng; Ameerah Syed; Rohan Bhasin; Nikita Jaipuria
,,,,,,,68,113b,5863,SoftCollage: A Differentiable Probabilistic Tree Generator for Image Collage,Jiahao Yu; Li Chen; Mingrui Zhang; Mading Li
,,,,,,,69,114b,10320,PILC: Practical Image Lossless Compression With an End-to-End GPU Oriented Neural Framework,Ning Kang; Shanzhao Qiu; Shifeng Zhang; Zhenguo Li; Shu-Tao Xia
,,,,,,,70,115b,4702,Kubric: A Scalable Dataset Generator,Klaus Greff; Francois Belletti; Lucas Beyer; Carl Doersch; Yilun Du; Daniel Duckworth; David J. Fleet; Dan Gnanapragasam; Florian Golemo; Charles Herrmann; Thomas Kipf; Abhijit Kundu; Dmitry Lagun; Issam Laradji; Hsueh-Ti (Derek) Liu; Henning Meyer; Yishu Miao; Derek Nowrouzezahrai; Cengiz Oztireli; Etienne Pot; Noha Radwan; Daniel Rebain; Sara Sabour; Mehdi S. M. Sajjadi; Matan Sela; Vincent Sitzmann; Austin Stone; Deqing Sun; Suhani Vora; Ziyu Wang; Tianhao Wu; Kwang Moo Yi; Fangcheng Zhong; Andrea Tagliasacchi
,,3D From Single Images,,,,,71,116b,41,360MonoDepth: High-Resolution 360° Monocular Depth Estimation,Manuel Rey-Area; Mingze Yuan; Christian Richardt
,,,,,,,72,117b,4391,"Pre-Train, Self-Train, Distill: A Simple Recipe for Supersizing 3D Reconstruction",Kalyan Vasudev Alwala; Abhinav Gupta; Shubham Tulsiani
,,,,,,,73,118b,6088,DGECN: A Depth-Guided Edge Convolutional Network for End-to-End 6D Pose Estimation,Tuo Cao; Fei Luo; Yanping Fu; Wenxiao Zhang; Shengjie Zheng; Chunxia Xiao
,,,,,,,74,119b,2989,MonoGround: Detecting Monocular 3D Objects From the Ground,Zequn Qin; Xi Li
,,,,,,,75,120b,2686,3D Shape Reconstruction From 2D Images With Disentangled Attribute Flow,Xin Wen; Junsheng Zhou; Yu-Shen Liu; Hua Su; Zhen Dong; Zhizhong Han
,,,,,,,76,121b,2657,Toward Practical Monocular Indoor Depth Estimation,Cho-Ying Wu; Jialiang Wang; Michael Hall; Ulrich Neumann; Shuochen Su
,,,,,,,77,122b,4692,Focal Length and Object Pose Estimation via Render and Compare,Georgy Ponimatkin; Yann Labbé; Bryan Russell; Mathieu Aubry; Josef Sivic
,,,,,,,78,123b,6311,CLIP-NeRF: Text-and-Image Driven Manipulation of Neural Radiance Fields,Can Wang; Menglei Chai; Mingming He; Dongdong Chen; Jing Liao
,,,,,,,79,124b,2116,Registering Explicit to Implicit: Towards High-Fidelity Garment Mesh Reconstruction From Single Images,Heming Zhu; Lingteng Qiu; Yuda Qiu; Xiaoguang Han
,,,,,,,80,125b,8082,Layered Depth Refinement With Mask Guidance,Soo Ye Kim; Jianming Zhang; Simon Niklaus; Yifei Fan; Simon Chen; Zhe Lin; Munchurl Kim
,,,,,,,81,126b,1031,HEAT: Holistic Edge Attention Transformer for Structured Reconstruction,Jiacheng Chen; Yiming Qian; Yasutaka Furukawa
,,,,,,,82,127b,931,BARC: Learning To Regress 3D Dog Shape From Images by Exploiting Breed Information,Nadine Rüegg; Silvia Zuffi; Konrad Schindler; Michael J. Black
,,,,,,,83,128b,8688,Time3D: End-to-End Joint Monocular 3D Object Detection and Tracking for Autonomous Driving,Peixuan Li; Jieyu Jin
,,,,,,,84,129b,816,What’s in Your Hands? 3D Reconstruction of Generic Objects in Hands,Yufei Ye; Abhinav Gupta; Shubham Tulsiani
,,,,,,,85,130b,7814,3D Moments From Near-Duplicate Photos,Qianqian Wang; Zhengqi Li; David Salesin; Noah Snavely; Brian Curless; Janne Kontkanen
,,,,,,,86,131b,5766,Neural Window Fully-Connected CRFs for Monocular Depth Estimation,Weihao Yuan; Xiaodong Gu; Zuozhuo Dai; Siyu Zhu; Ping Tan
,,,,,,,87,132b,9095,PUMP: Pyramidal and Uniqueness Matching Priors for Unsupervised Learning of Local Descriptors,Jérome Revaud; Vincent Leroy; Philippe Weinzaepfel; Boris Chidlovskii
,,,,,,,88,133b,3717,CroMo: Cross-Modal Learning for Monocular Depth Estimation,Yannick Verdié; Jifei Song; Barnabé Mas; Benjamin Busam; Ales̆ Leonardis; Steven McDonagh
,,,,,,,89,134b,258,f-SfT: Shape-From-Template With a Physics-Based Deformation Model,Navami Kairanda; Edith Tretschk; Mohamed Elgharib; Christian Theobalt; Vladislav Golyanik
,,,,,,,90,135b,923,Human-Aware Object Placement for Visual Environment Reconstruction,Hongwei Yi; Chun-Hao P. Huang; Dimitrios Tzionas; Muhammed Kocabas; Mohamed Hassan; Siyu Tang; Justus Thies; Michael J. Black
,,,,,,,91,136b,11298,AutoRF: Learning 3D Object Radiance Fields From Single View Observations,Norman Müller; Andrea Simonelli; Lorenzo Porzi; Samuel Rota Bulò; Matthias Nießner; Peter Kontschieder
,,,,,,,92,137b,7080,Pix2NeRF: Unsupervised Conditional p-GAN for Single Image to Neural Radiance Fields Translation,Shengqu Cai; Anton Obukhov; Dengxin Dai; Luc Van Gool
,,,,,,,93,138b,2163,MonoScene: Monocular 3D Semantic Scene Completion,Anh-Quan Cao; Raoul de Charette
,,,,,,,94,139b,12016,GenDR: A Generalized Differentiable Renderer,Felix Petersen; Bastian Goldluecke; Christian Borgelt; Oliver Deussen
,,,,,,,95,140b,4069,MonoDTR: Monocular 3D Object Detection With Depth-Aware Transformer,Kuan-Chih Huang; Tsung-Han Wu; Hung-Ting Su; Winston H. Hsu
,,,,,,,96,141b,7078,ROCA: Robust CAD Model Retrieval and Alignment From a Single Image,Can Gümeli; Angela Dai; Matthias Nießner
,,Face & Gestures,,,,,97,142b,4047,HP-Capsule: Unsupervised Face Part Discovery by Hierarchical Parsing Capsule Network,Chang Yu; Xiangyu Zhu; Xiaomei Zhang; Zidu Wang; Zhaoxiang Zhang; Zhen Lei
,,,,,,,98,143b,6529,Killing Two Birds With One Stone: Efficient and Robust Training of Face Recognition CNNs by Partial FC,Xiang An; Jiankang Deng; Jia Guo; Ziyong Feng; XuHan Zhu; Jing Yang; Tongliang Liu
,,,,,,,99,144b,8566,Sparse Local Patch Transformer for Robust Face Alignment and Landmarks Inherent Relation Learning,Jiahao Xia; Weiwei Qu; Wenjian Huang; Jianguo Zhang; Xi Wang; Min Xu
,,,,,,,100,145b,5578,Enhancing Face Recognition With Self-Supervised 3D Reconstruction,Mingjie He; Jie Zhang; Shiguang Shan; Xilin Chen
,,,,,,,101,146b,5996,Learning To Learn Across Diverse Data Biases in Deep Face Recognition,Chang Liu; Xiang Yu; Yi-Hsuan Tsai; Masoud Faraki; Ramin Moslemi; Manmohan Chandraker; Yun Fu
,,,,,,,102,147b,7320,An Efficient Training Approach for Very Large Scale Face Recognition,Kai Wang; Shuo Wang; Panpan Zhang; Zhipeng Zhou; Zheng Zhu; Xiaobo Wang; Xiaojiang Peng; Baigui Sun; Hao Li; Yang You
,,,,,,,103,148b,4045,MogFace: Towards a Deeper Appreciation on Face Detection,Yang Liu; Fei Wang; Jiankang Deng; Zhipeng Zhou; Baigui Sun; Hao Li
,,,,,,,104,149b,7382,Exploring Frequency Adversarial Attacks for Face Forgery Detection,Shuai Jia; Chao Ma; Taiping Yao; Bangjie Yin; Shouhong Ding; Xiaokang Yang
,,,,,,,105,150b,7163,End-to-End Reconstruction-Classification Learning for Face Forgery Detection,Junyi Cao; Chao Ma; Taiping Yao; Shen Chen; Shouhong Ding; Xiaokang Yang
,,,,,,,106,151b,3804,Domain Generalization via Shuffled Style Assembly for Face Anti-Spoofing,Zhuo Wang; Zezheng Wang; Zitong Yu; Weihong Deng; Jiahong Li; Tingting Gao; Zhongyuan Wang
,,,,,,,107,152b,9981,Privacy-Preserving Online AutoML for Domain-Specific Face Detection,Chenqian Yan; Yuge Zhang; Quanlu Zhang; Yaming Yang; Xinyang Jiang; Yuqing Yang; Baoyuan Wang
,,,,,,,108,153b,891,Simulated Adversarial Testing of Face Recognition Models,Nataniel Ruiz; Adam Kortylewski; Weichao Qiu; Cihang Xie; Sarah Adel Bargal; Alan Yuille; Stan Sclaroff
,,,,,,,109,154b,5782,Decoupled Multi-Task Learning With Cyclical Self-Regulation for Face Parsing,Qingping Zheng; Jiankang Deng; Zheng Zhu; Ying Li; Stefanos Zafeiriou
,,,,,,,110,155b,2510,Towards Semi-Supervised Deep Facial Expression Recognition With an Adaptive Confidence Margin,Hangyu Li; Nannan Wang; Xi Yang; Xiaoyu Wang; Xinbo Gao
,,,,,,,111,156b,5638,Towards Accurate Facial Landmark Detection via Cascaded Transformers,Hui Li; Zidong Guo; Seon-Min Rhee; Seungju Han; Jae-Joon Han
,,,,,,,112,157b,3038,PhysFormer: Facial Video-Based Physiological Measurement With Temporal Difference Transformer,Zitong Yu; Yuming Shen; Jingang Shi; Hengshuang Zhao; Philip H.S. Torr; Guoying Zhao
,,,,,,,113,158b,5557,GazeOnce: Real-Time Multi-Person Gaze Estimation,Mingfang Zhang; Yunfei Liu; Feng Lu
,,,,,,,114,159b,3783,Generalizing Gaze Estimation With Rotation Consistency,Yiwei Bao; Yunfei Liu; Haofei Wang; Feng Lu
,,,,,,,115,160b,4512,Face Relighting With Geometrically Consistent Shadows,Andrew Hou; Michel Sarkis; Ning Bi; Yiying Tong; Xiaoming Liu
,,,,,,,116,161b,2485,HairMapper: Removing Hair From Portraits Using GANs,Yiqian Wu; Yong-Liang Yang; Xiaogang Jin
,,,,,,,117,162b,5664,Learning To Restore 3D Face From In-the-Wild Degraded Images,Zhenyu Zhang; Yanhao Ge; Ying Tai; Xiaoming Huang; Chengjie Wang; Hao Tang; Dongjin Huang; Zhifeng Xie
,,"Segmentation, Grouping and Shape Analysis",,,,,118,163b,5131,Semi-Supervised Semantic Segmentation Using Unreliable Pseudo-Labels,Yuchao Wang; Haochen Wang; Yujun Shen; Jingjing Fei; Wei Li; Guoqiang Jin; Liwei Wu; Rui Zhao; Xinyi Le
,,,,,,,119,164b,5593,Perturbed and Strict Mean Teachers for Semi-Supervised Semantic Segmentation,Yuyuan Liu; Yu Tian; Yuanhong Chen; Fengbei Liu; Vasileios Belagiannis; Gustavo Carneiro
,,,,,,,120,165b,6256,ST++: Make Self-Training Work Better for Semi-Supervised Semantic Segmentation,Lihe Yang; Wei Zhuo; Lei Qi; Yinghuan Shi; Yang Gao
,,,,,,,121,166b,1167,Beyond Semantic to Instance Segmentation: Weakly-Supervised Instance Segmentation via Semantic Knowledge Transfer and Self-Refinement,Beomyoung Kim; YoungJoon Yoo; Chae Eun Rhee; Junmo Kim
,,,,,,,122,167b,1584,Self-Supervised Image-Specific Prototype Exploration for Weakly Supervised Semantic Segmentation,Qi Chen; Lingxiao Yang; Jian-Huang Lai; Xiaohua Xie
,,,,,,,123,168b,2450,Regional Semantic Contrast and Aggregation for Weakly Supervised Semantic Segmentation,Tianfei Zhou; Meijie Zhang; Fang Zhao; Jianwu Li
,,,,,,,124,169b,5253,Multi-Class Token Transformer for Weakly Supervised Semantic Segmentation,Lian Xu; Wanli Ouyang; Mohammed Bennamoun; Farid Boussaid; Dan Xu
,,,,,,,125,170b,139,Weakly Supervised Semantic Segmentation by Pixel-to-Prototype Contrast,Ye Du; Zehua Fu; Qingjie Liu; Yunhong Wang
,,,,,,,126,171b,2551,Threshold Matters in WSSS: Manipulating the Activation for the Robust and Accurate Segmentation Model Against Thresholds,Minhyun Lee; Dongseob Kim; Hyunjung Shim
,,,,,,,127,172b,208,Novel Class Discovery in Semantic Segmentation,Yuyang Zhao; Zhun Zhong; Nicu Sebe; Gim Hee Lee
,,,,,,,128,173b,10828,Pin the Memory: Learning To Generalize Semantic Segmentation,Jin Kim; Jiyoung Lee; Jungin Park; Dongbo Min; Kwanghoon Sohn
,,,,,,,129,174b,6150,ISDNet: Integrating Shallow and Deep Networks for Efficient Ultra-High Resolution Segmentation,Shaohua Guo; Liang Liu; Zhenye Gan; Yabiao Wang; Wuhao Zhang; Chengjie Wang; Guannan Jiang; Wei Zhang; Ran Yi; Lizhuang Ma; Ke Xu
,,,,,,,130,175b,10756,Incremental Learning in Semantic Segmentation From Image Labels,Fabio Cermelli; Dario Fontanel; Antonio Tavera; Marco Ciccone; Barbara Caputo
,,,,,,,131,176b,9202,Instance Segmentation With Mask-Supervised Polygonal Boundary Transformers,Justin Lazarow; Weijian Xu; Zhuowen Tu
,,,,,,,132,177b,2638,SharpContour: A Contour-Based Boundary Refinement Approach for Efficient and Accurate Instance Segmentation,Chenming Zhu; Xuanye Zhang; Yanran Li; Liangdong Qiu; Kai Han; Xiaoguang Han
,,,,,,,133,178b,7436,Sparse Object-Level Supervision for Instance Segmentation With Pixel Embeddings,Adrian Wolny; Qin Yu; Constantin Pape; Anna Kreshuk
,,,,,,,134,179b,1831,Mask Transfiner for High-Quality Instance Segmentation,Lei Ke; Martin Danelljan; Xia Li; Yu-Wing Tai; Chi-Keung Tang; Fisher Yu
,,,,,,,135,180b,9506,Open-World Instance Segmentation: Exploiting Pseudo Ground Truth From Learned Pairwise Affinity,Weiyao Wang; Matt Feiszli; Heng Wang; Jitendra Malik; Du Tran
,,,,,,,136,181b,645,Sparse Instance Activation for Real-Time Instance Segmentation,Tianheng Cheng; Xinggang Wang; Shaoyu Chen; Wenqiang Zhang; Qian Zhang; Chang Huang; Zhaoxiang Zhang; Wenyu Liu
,,,,,,,137,182b,6982,E2EC: An End-to-End Contour-Based Method for High-Quality High-Speed Instance Segmentation,Tao Zhang; Shiqing Wei; Shunping Ji
,,,,,,,138,183b,8683,Hyperbolic Image Segmentation,Mina Ghadimi Atigh; Julian Schoep; Erman Acar; Nanne van Noord; Pascal Mettes
,,,,,,,139,184b,9859,SeeThroughNet: Resurrection of Auxiliary Loss by Preserving Class Probability Information,Dasol Han; Jaewook Yoo; Dokwan Oh
,,,,,,,140,185b,3547,CDGNet: Class Distribution Guided Network for Human Parsing,Kunliang Liu; Ouk Choi; Jianming Wang; Wonjun Hwang
,,,,,,,141,186b,2990,CLIMS: Cross Language Image Matching for Weakly Supervised Semantic Segmentation,Jinheng Xie; Xianxu Hou; Kai Ye; Linlin Shen
,,,,,,,142,187b,8137,Sparse Non-Local CRF,Olga Veksler; Yuri Boykov
,,,,,,,143,188b,7617,Detecting Camouflaged Object in Frequency Domain,Yijie Zhong; Bo Li; Lv Tang; Senyun Kuang; Shuang Wu; Shouhong Ding
,,,,,,,144,189b,9342,Progressive Minimal Path Method With Embedded CNN,Wei Liao
,,Document Analysis & Understanding,,,,,145,190b,2898,Open-Set Text Recognition via Character-Context Decoupling,Chang Liu; Chun Yang; Xu-Cheng Yin
,,,,,,,146,191b,3331,Neural Collaborative Graph Machines for Table Structure Recognition,Hao Liu; Xin Li; Bing Liu; Deqiang Jiang; Yinsong Liu; Bo Ren
,,,,,,,147,192b,4051,Revisiting Document Image Dewarping by Grid Regularization,Xiangwei Jiang; Rujiao Long; Nan Xue; Zhibo Yang; Cong Yao; Gui-Song Xia
,,,,,,,148,193b,4161,Syntax-Aware Network for Handwritten Mathematical Expression Recognition,Ye Yuan; Xiao Liu; Wondimu Dikubab; Hui Liu; Zhilong Ji; Zhongqin Wu; Xiang Bai
,,,,,,,149,194b,4743,Few Could Be Better Than All: Feature Sampling and Grouping for Scene Text Detection,Jingqun Tang; Wenqing Zhang; Hongye Liu; MingKun Yang; Bo Jiang; Guanglong Hu; Xiang Bai
